DI,StructuralIntegrity,ExteriorCharm
1623,5,Common
1624,5,Gleaming
1625,6,Common
1626,5,Enchanting
1627,6,Common
1628,5,Common
1629,5,Common
1630,5,Common
1631,5,Gleaming
1632,6,Common
1633,5,Gleaming
1634,5,Common
1635,7,Gleaming
1636,5,Common
1637,5,Common
1638,5,Gleaming
1639,5,Common
1640,5,Common
1641,7,Gleaming
1642,6,Common
1643,5,Common
1644,7,Common
1645,5,Gleaming
1646,7,Common
1647,5,Enchanting
1648,5,Gleaming
1649,5,Common
1650,5,Gleaming
1651,6,Common
1652,5,Gleaming
1653,5,Gleaming
1654,5,Common
1655,5,Gleaming
1656,6,Common
1657,5,Common
1658,5,Common
1659,5,Common
1660,5,Gleaming
1661,8,Gleaming
1662,5,Common
1663,7,Common
1664,5,Gleaming
1665,5,Gleaming
1666,7,Common
1667,6,Common
1668,5,Gleaming
1669,6,Common
1670,5,Enchanting
1671,5,Common
1672,6,Common
1673,5,Common
1674,5,Common
1675,6,Common
1676,6,Common
1677,3,Common
1678,5,Gleaming
1679,5,Gleaming
1680,6,Common
1681,4,Common
1682,1,Common
1683,5,Common
1684,5,Gleaming
1685,6,Common
1685,6,Common
1686,5,Gleaming
1687,5,Common
1688,5,Gleaming
1689,5,Gleaming
1690,7,Common
1691,6,Gleaming
1692,5,Gleaming
1693,8,Common
1694,5,Common
1695,5,Enchanting
1696,5,Gleaming
1697,7,Common
1698,8,Common
1699,5,Common
1700,5,Gleaming
1701,7,Common
1702,9,Gleaming
1703,7,Common
1704,7,Common
1705,5,Common
1706,5,Gleaming
1707,5,Enchanting
1708,5,Gleaming
1709,6,Common
1710,5,Common
1711,5,Gleaming
1712,7,Common
1713,5,Gleaming
1714,4,Common
1715,6,Common
1716,7,Gleaming
1717,6,Common
1718,8,Common
1719,5,Gleaming
1720,6,Common
1721,6,Common
1722,5,Gleaming
1723,4,Common
1724,5,Gleaming
1725,5,Gleaming
1726,7,Common
1727,7,Common
1728,4,Common
1729,7,Common
1730,5,Gleaming
1731,5,Common
1732,5,Common
1733,5,Enchanting
1734,7,Common
1735,5,Gleaming
1736,5,Enchanting
1737,5,Common
1738,8,Common
1739,7,Common
1740,5,Gleaming
1741,8,Common
1742,5,Gleaming
1743,6,Common
1744,6,Common
1745,5,Gleaming
1746,6,Common
1747,5,Common
1748,5,Common
1749,9,Gleaming
1750,5,Gleaming
1751,5,Common
1752,5,Gleaming
1753,5,Common
1754,3,Modest
1755,5,Common
1756,5,Common
1757,4,Common
1758,5,Enchanting
1759,5,Gleaming
1760,5,Gleaming
1761,6,Gleaming
1762,6,Common
1763,6,Common
1764,5,Gleaming
1765,5,Enchanting
1766,6,Common
1767,6,Common
1768,5,Enchanting
1769,5,Common
1770,5,Gleaming
1771,7,Common
1772,5,Gleaming
1773,5,Gleaming
1774,7,Common
1775,9,Common
1776,9,Gleaming
1777,5,Common
1778,5,Gleaming
1779,4,Common
1780,5,Gleaming
1781,5,Gleaming
1782,5,Common
1783,6,Common
1784,5,Gleaming
1785,5,Gleaming
1786,5,Common
1787,5,Common
1788,5,Enchanting
1789,5,Common
1790,5,Gleaming
1791,7,Common
1792,5,Common
1793,7,Gleaming
1794,5,Common
1795,5,Common
1796,5,Common
1797,6,Common
1798,6,Common
1799,5,Gleaming
1800,6,Common
1801,7,Gleaming
1802,5,Enchanting
1803,5,Gleaming
1804,5,Gleaming
1805,5,Enchanting
1805,5,Enchanting
1806,9,Common
1807,5,Gleaming
1808,7,Common
1809,3,Common
1810,5,Common
1811,5,Gleaming
1812,6,Common
1813,8,Common
1814,5,Gleaming
1815,6,Common
1816,5,Common
1817,5,Enchanting
1818,5,Gleaming
1819,6,Common
1820,7,Common
1821,6,Common
1822,8,Gleaming
1823,5,Common
1824,6,Common
1825,6,Common
1826,6,Common
1827,5,Gleaming
1828,7,Common
1829,8,Gleaming
1830,6,Common
1831,7,Common
1832,3,Common
1833,5,Gleaming
1834,5,Gleaming
1835,5,Gleaming
1836,5,Gleaming
1837,4,Gleaming
1838,6,Common
1839,5,Gleaming
1840,6,Common
1841,7,Common
1842,8,Gleaming
1843,6,Common
1844,5,Common
1845,5,Gleaming
1846,5,Common
1847,5,Common
1848,8,Common
1849,7,Common
1850,5,Common
1851,5,Gleaming
1852,5,Common
1853,6,Common
1854,6,Common
1855,5,Gleaming
1856,5,Enchanting
1857,5,Gleaming
1858,7,Common
1859,5,Gleaming
1860,2,Common
1861,7,Common
1862,5,Common
1863,8,Common
1864,7,Common
1865,6,Common
1866,5,Enchanting
1867,8,Common
1868,5,Gleaming
1869,5,Gleaming
1870,6,Common
1871,5,Common
1872,5,Gleaming
1873,5,Gleaming
1874,5,Gleaming
1875,6,Common
1876,4,Common
1877,5,Gleaming
1878,6,Common
1879,6,Common
1880,7,Gleaming
1881,5,Gleaming
1882,4,Common
1883,8,Common
1884,8,Common
1885,6,Common
1886,5,Gleaming
1887,4,Common
1888,6,Gleaming
1889,5,Gleaming
1890,5,Gleaming
1891,5,Common
1892,8,Common
1893,6,Common
1894,3,Common
1895,6,Common
1896,6,Common
1897,6,Gleaming
1898,7,Common
1899,5,Gleaming
1900,5,Gleaming
1901,5,Common
1902,7,Common
1903,5,Common
1904,6,Common
1905,6,Common
1906,5,Gleaming
1907,5,Common
1908,5,Common
1909,7,Common
1910,5,Gleaming
1911,7,Common
1912,7,Common
1913,6,Gleaming
1914,5,Common
1915,5,Common
1916,5,Common
1917,5,Enchanting
1918,5,Common
1919,5,Gleaming
1920,5,Common
1921,5,Common
1922,5,Common
1923,5,Common
1924,5,Common
1925,6,Common
1926,5,Common
1927,5,Gleaming
1928,5,Gleaming
1929,7,Common
1930,5,Common
1931,3,Common
1932,5,Gleaming
1933,5,Enchanting
1934,5,Common
1935,5,Common
1936,5,Gleaming
1937,5,Common
1938,5,Enchanting
1939,7,Common
1940,6,Common
1941,6,Common
1942,5,Gleaming
1943,5,Gleaming
1944,5,Common
1945,6,Modest
1946,5,Gleaming
1947,6,Common
1948,5,Gleaming
1949,7,Common
1950,5,Gleaming
1951,5,Gleaming
1952,5,Gleaming
1953,7,Common
1954,6,Common
1955,4,Common
1956,6,Common
1957,5,Gleaming
1958,6,Common
1959,6,Common
1960,6,Common
1961,5,Gleaming
1962,5,Common
1963,5,Gleaming
1964,6,Common
1965,5,Common
1966,7,Gleaming
1967,5,Common
1968,5,Gleaming
1969,5,Common
1970,5,Gleaming
1971,6,Common
1972,5,Gleaming
1973,5,Gleaming
1974,5,Gleaming
1975,3,Modest
1976,3,Common
1977,7,Common
1978,5,Enchanting
1979,5,Gleaming
1980,6,Common
1981,7,Common
1982,4,Common
1983,5,Gleaming
1984,5,Gleaming
1985,7,Common
1986,5,Common
1987,5,Common
1988,4,Common
1989,6,Common
1990,6,Common
1991,7,Common
1992,5,Gleaming
1993,9,Enchanting
1994,6,Common
1995,5,Common
1996,7,Common
1997,5,Common
1998,5,Common
1999,7,Common
2000,5,Common
2001,6,Common
2002,7,Common
2003,7,Common
2004,5,Common
2005,5,Gleaming
2006,5,Gleaming
2007,6,Common
2008,5,Common
2009,5,Gleaming
2010,8,Common
2011,8,Common
2012,7,Common
2013,5,Enchanting
2014,5,Gleaming
2015,7,Gleaming
2016,6,Common
2017,5,Gleaming
2018,5,Enchanting
2019,6,Gleaming
2020,5,Common
2021,6,Common
2022,5,Gleaming
2023,5,Common
2024,6,Common
2025,7,Common
2026,5,Common
2027,5,Common
2028,6,Common
2029,5,Common
2030,5,Common
2031,5,Common
2032,5,Gleaming
2033,6,Common
2034,5,Gleaming
2035,7,Common
2036,7,Common
2037,7,Common
2038,8,Common
2039,5,Common
2040,7,Gleaming
2041,5,Enchanting
2042,7,Common
2043,6,Gleaming
2044,6,Common
2045,6,Common
2046,6,Common
2047,6,Common
2048,7,Common
2049,5,Common
2050,6,Common
2051,6,Common
2052,5,Common
2053,5,Common
2054,5,Gleaming
2055,5,Common
2056,5,Common
2057,7,Common
2058,8,Gleaming
2059,5,Gleaming
2060,5,Gleaming
2061,6,Common
2062,7,Common
2063,7,Common
2064,5,Gleaming
2065,4,Common
2066,5,Common
2067,6,Common
2068,5,Common
2069,5,Gleaming
2070,5,Gleaming
2071,5,Gleaming
2072,5,Gleaming
2073,5,Common
2074,5,Common
2075,5,Gleaming
2076,6,Common
2077,6,Common
2078,5,Gleaming
2079,5,Gleaming
2080,7,Modest
2081,5,Gleaming
2082,7,Common
2083,5,Common
2084,5,Gleaming
2085,6,Common
2086,4,Common
2087,6,Common
2088,7,Common
2089,5,Gleaming
2090,3,Common
2091,5,Gleaming
2092,5,Gleaming
2093,7,Common
2094,6,Gleaming
2095,5,Gleaming
2096,6,Common
2097,7,Common
2098,9,Common
2099,3,Common
2100,5,Gleaming
2101,7,Common
2102,5,Common
2103,6,Common
2104,5,Common
2105,7,Common
2106,6,Common
2107,5,Gleaming
2108,5,Gleaming
2109,5,Common
2110,7,Common
2111,6,Common
2112,5,Enchanting
2113,7,Common
2114,5,Gleaming
2115,6,Gleaming
2116,7,Common
2117,5,Gleaming
2118,7,Common
2119,5,Gleaming
2119,5,Gleaming
2120,5,Gleaming
2121,5,Enchanting
2122,6,Common
2122,6,Common
2123,5,Common
2124,5,Common
2125,9,Gleaming
2126,5,Gleaming
2127,7,Common
2128,5,Common
2129,7,Common
2130,6,Gleaming
2131,5,Gleaming
2132,8,Common
2133,5,Gleaming
2134,5,Common
2135,6,Common
2136,5,Gleaming
2137,5,Common
2138,4,Common
2139,5,Gleaming
2140,5,Common
2141,7,Common
2141,7,Common
2142,5,Gleaming
2143,5,Gleaming
2144,5,Gleaming
2145,6,Common
2146,8,Gleaming
2147,5,Gleaming
2148,5,Gleaming
2149,7,Common
2150,5,Common
2151,5,Gleaming
2152,5,Common
2153,5,Common
2154,6,Common
2155,5,Common
2156,4,Common
2157,5,Enchanting
2158,5,Common
2159,5,Gleaming
2160,5,Common
2161,6,Common
2162,5,Gleaming
2163,8,Gleaming
2164,7,Common
2165,6,Common
2166,5,Enchanting
2167,5,Gleaming
2168,5,Common
2169,7,Common
2170,4,Common
2171,5,Common
2172,5,Gleaming
2173,5,Common
2174,5,Gleaming
2174,5,Gleaming
2175,7,Common
2176,5,Common
2177,5,Common
2178,7,Common
2179,5,Common
2180,7,Common
2181,5,Gleaming
2182,5,Gleaming
2183,6,Gleaming
2184,5,Gleaming
2185,5,Gleaming
2186,6,Common
2187,7,Common
2188,5,Common
2189,5,Common
2190,5,Enchanting
2191,8,Common
2192,3,Common
2193,6,Common
2194,5,Gleaming
2195,5,Gleaming
2196,5,Enchanting
2197,4,Common
2198,6,Common
2199,5,Gleaming
2200,5,Gleaming
2201,5,Gleaming
2202,7,Gleaming
2203,5,Common
2204,5,Common
2205,6,Common
2206,6,Modest
2207,2,Gleaming
2208,7,Gleaming
2209,7,Common
2210,5,Gleaming
2211,6,Common
2212,5,Common
2213,5,Gleaming
2214,4,Common
2215,5,Gleaming
2216,5,Gleaming
2217,5,Gleaming
2218,5,Common
2219,5,Gleaming
2220,5,Common
2221,5,Common
2222,5,Gleaming
2223,6,Common
2224,7,Gleaming
2225,5,Common
2226,7,Common
2227,5,Common
2228,5,Gleaming
2229,7,Common
2230,6,Common
2231,5,Gleaming
2232,8,Gleaming
2233,7,Common
2234,8,Common
2235,5,Common
2236,5,Common
2237,2,Common
2238,5,Gleaming
2239,5,Common
2240,5,Enchanting
2241,6,Common
2242,7,Common
2243,6,Common
2244,5,Common
2245,6,Common
2245,6,Common
2246,5,Gleaming
2247,7,Common
2248,5,Common
2249,5,Common
2250,6,Common
2251,5,Gleaming
2252,4,Common
2253,5,Gleaming
2254,2,Common
2255,6,Gleaming
2256,7,Common
2257,8,Common
2258,6,Common
2259,5,Gleaming
2260,5,Common
2261,5,Common
2262,7,Common
2263,5,Gleaming
2264,7,Common
2265,5,Common
2266,5,Common
2267,5,Gleaming
2268,6,Common
2269,5,Common
2270,5,Gleaming
2271,5,Common
2272,5,Common
2273,5,Gleaming
2274,5,Gleaming
2275,5,Gleaming
2276,5,Common
2277,5,Common
2278,6,Common
2279,5,Gleaming
2280,7,Common
2281,5,Gleaming
2282,5,Common
2283,4,Common
2284,5,Gleaming
2285,5,Gleaming
2286,5,Common
2287,5,Gleaming
2288,5,Common
2289,5,Gleaming
2290,4,Common
2291,5,Common
2292,7,Common
2293,6,Common
2294,6,Common
2295,5,Gleaming
2296,8,Common
2297,4,Modest
2298,6,Common
2299,5,Common
2300,6,Common
2301,5,Gleaming
2302,5,Common
2303,5,Common
2304,5,Gleaming
2304,5,Gleaming
2305,5,Gleaming
2306,3,Common
2307,5,Gleaming
2308,5,Enchanting
2309,7,Common
2310,8,Common
2311,5,Gleaming
2312,6,Common
2313,5,Common
2314,5,Common
2315,5,Common
2316,5,Gleaming
2317,5,Common
2318,5,Gleaming
2319,6,Gleaming
2320,5,Common
2321,5,Enchanting
2322,5,Common
2323,5,Gleaming
2324,6,Common
2325,5,Common
2326,7,Common
2327,6,Common
2328,5,Gleaming
2329,5,Gleaming
2330,7,Common
2331,5,Gleaming
2332,5,Gleaming
2333,7,Common
2334,5,Gleaming
2335,7,Common
2336,5,Gleaming
2337,5,Gleaming
2338,4,Common
2339,6,Common
