DI,Craftsmanship,EraConstructed
1856,9,1659
1857,6,1442
1858,6,1010
1859,8,1799
1860,5,1074
1861,5,1007
1862,3,1172
1863,7,1257
1864,5,1062
1865,5,1025
1866,9,1747
1867,5,1011
1868,8,1514
1869,7,1452
1870,5,1171
1871,4,1350
1872,9,1599
1873,5,1462
1874,7,1734
1875,4,1297
1876,4,1287
1877,9,1671
1878,4,1355
1879,4,1150
1880,5,1270
1881,7,1726
1882,6,1215
1883,5,1057
1884,6,1131
1885,6,1396
1886,8,1782
1887,5,967
1888,5,1559
1889,8,1489
1890,8,1732
1891,7,1468
1892,4,1063
1893,5,1168
1894,4,1337
1895,6,1315
1896,4,1330
1897,7,1775
1898,5,1345
1899,6,1640
1900,8,1764
1901,6,1495
1902,5,1231
1903,5,1478
1904,6,1548
1905,5,1365
1906,7,1537
1907,7,1449
1908,6,1575
1909,5,1257
1910,7,1628
1911,7,1008
1912,4,1123
1913,8,1400
1914,5,1781
1915,5,1016
1916,7,1577
1917,10,1607
1918,6,1501
1919,7,1452
1920,5,1313
1921,5,1052
1922,4,1276
1923,6,1639
1924,5,1346
1925,6,1080
1926,6,1105
1927,7,1718
1928,8,1780
1929,5,1286
1930,4,1030
1931,5,1345
1932,9,1716
1933,9,1738
1934,7,1375
1935,7,1733
1936,7,1630
1937,5,1774
1938,9,1788
1939,5,1376
1940,6,1291
1941,6,1294
1942,8,1626
1943,8,1726
1944,5,1391
1945,5,1242
1946,8,1714
1947,5,1467
1948,7,1671
1949,5,1330
1950,8,1656
1951,7,1676
1952,5,1677
1953,6,1091
1954,5,1498
1955,4,1220
1956,5,1382
1957,6,1780
1958,5,1379
1959,4,1323
1960,5,1285
1961,6,1514
1962,4,1453
1963,7,1740
1964,6,1421
1965,5,1308
1966,8,1418
1967,7,1277
1968,8,1763
1969,5,1327
1970,8,1681
1971,6,1575
1972,8,1709
1973,7,1632
1974,7,1525
1975,4,1202
1976,6,1374
1977,5,1293
1978,9,1705
1979,8,1562
1980,5,1202
1981,5,1190
1982,6,1118
1983,8,1554
1984,7,1745
1985,5,1228
1986,5,1289
1987,6,1670
1988,5,1274
1989,5,990
1990,6,1119
1991,6,1173
1992,10,1468
1993,8,1400
1994,6,1329
1995,4,1062
1996,6,1228
1997,5,1351
1998,5,1308
1999,5,1503
2000,5,1305
2001,6,1016
2002,5,1479
2003,5,1363
2004,6,1527
2005,8,1709
2006,7,1669
2007,6,1225
2008,5,1458
2009,8,1706
2010,5,1116
2011,7,1047
2012,5,1174
2013,9,1709
2014,8,1782
2015,7,1491
2016,6,1163
2017,8,1727
2018,10,1689
2019,8,1472
2020,6,1246
2021,4,1118
2022,7,1690
2023,7,1183
2024,5,1237
2025,5,1240
2026,5,1221
2027,6,1311
2028,5,1312
2029,4,1308
2030,6,1123
2031,4,1261
2032,8,1795
2033,7,1548
2034,7,1774
2035,7,1563
2036,6,1391
2037,5,1205
2038,6,1295
2039,5,1381
2040,8,1571
2041,10,1671
2042,6,1158
2043,7,1413
2044,6,1248
2045,5,1185
2046,6,1506
2047,7,1492
2048,5,1455
2049,5,1306
2050,5,1085
2051,7,1017
2052,6,1309
2053,8,919
2054,8,1621
2055,5,1581
2056,6,1473
2057,5,1090
2058,5,1093
2059,8,1677
2060,8,1547
2061,6,1385
2062,5,1223
2063,5,1145
2064,7,1748
2065,4,1191
2066,7,1077
2067,5,1013
2068,6,1414
2069,8,1529
2070,7,1724
2071,8,1544
2072,8,1552
2073,6,1346
2074,5,1351
2075,7,1584
2076,4,1295
2077,5,1276
2078,6,1679
2079,6,1766
2080,4,1189
2081,7,1796
2082,5,1229
2083,5,1221
2084,8,1621
2085,5,1576
2086,5,1000
2087,5,1360
2088,5,1013
2089,8,1794
2090,3,1112
2091,9,1600
2092,7,1685
2093,5,1093
2094,8,1343
2095,7,1676
2096,6,1465
2097,5,1081
2098,5,1108
2099,3,1239
2100,6,1586
2101,4,1048
2102,5,1351
2103,6,1480
2104,6,1537
2105,4,1122
2106,7,1403
2107,6,1774
2108,6,1673
2109,4,1393
2110,6,1002
2111,7,1214
2112,9,1784
2113,7,1064
2114,7,1684
2115,7,1597
2116,5,1249
2117,8,1640
2118,5,1060
2119,7,1576
2119,7,1576
2120,6,1649
2121,9,1692
2122,6,1436
2122,6,1436
2123,6,1274
2124,6,1327
2125,8,1025
2126,8,1612
2127,6,1239
2128,6,1013
2129,5,1278
2130,7,1470
2131,7,1676
2132,6,1173
2133,6,1656
2134,6,1665
2135,6,1367
2136,7,1681
2137,7,1768
2138,5,1173
2139,7,1461
2140,5,1182
2141,4,1021
2141,4,1021
2142,8,1714
2143,6,1709
2144,8,1757
2145,6,1348
2146,6,1275
2147,8,1767
2148,7,1665
2149,5,1473
2150,5,1182
2151,8,1640
2152,5,1221
2153,6,1415
2154,6,1188
2155,5,1393
2156,4,1394
2157,9,1659
2158,5,1453
2159,7,1653
2160,5,1069
2161,6,1491
2162,7,1646
2163,5,1316
2164,5,1377
2165,6,1440
2166,8,1662
2167,7,1759
2168,5,1072
2169,5,1093
2170,4,1102
2171,5,1222
2172,6,1722
2173,5,1272
2174,7,1634
2174,7,1634
2175,6,1411
2176,6,1151
2177,5,1270
2178,5,1332
2179,6,1482
2180,6,1363
2181,8,1542
2182,8,1728
2183,3,1051
2184,7,1529
2185,7,1575
2186,5,1255
2187,6,1362
2188,6,1289
2189,5,1375
2190,10,1747
2191,6,1217
2192,5,1093
2193,6,1501
2194,8,1792
2195,7,1660
2196,9,1761
2197,3,1268
2198,6,1445
2199,7,1768
2200,6,1618
2201,8,1769
2202,7,1521
2203,6,1293
2204,8,1599
2205,5,1396
2206,5,1300
2207,9,1714
2208,6,1318
2209,5,1075
2210,8,1784
2211,6,1229
2212,7,1586
2213,7,1567
2214,4,1035
2215,6,1650
2216,8,1675
2217,7,1561
2218,5,1476
2219,9,1752
2220,6,1572
2221,7,1506
2222,7,1486
2223,6,1497
2224,5,1378
2225,5,1203
2226,5,1261
2227,5,1044
2228,8,1604
2229,6,1363
2230,5,1264
2231,8,1660
2232,6,1138
2233,5,1044
2234,6,1393
2235,5,1140
2236,5,1316
2237,2,1107
2238,7,1741
2239,5,1568
2240,9,1725
2241,4,1526
2242,6,1271
2243,5,1042
2244,3,1241
2245,5,1313
2245,5,1313
2246,8,1643
2247,4,982
2248,5,1370
2249,6,1248
2250,6,1345
2251,8,1473
2252,3,1242
2253,7,1658
2254,5,1076
2255,8,1493
2256,6,1387
2257,5,1010
2258,6,1273
2259,7,1707
2260,5,1355
2261,7,1558
2262,4,1370
2263,7,1762
2264,5,1276
2265,5,1350
2266,6,1602
2267,8,1762
2268,5,1033
2269,5,1379
2270,6,1523
2271,5,1471
2272,4,1136
2273,6,1659
2274,8,1602
2275,7,1686
2276,4,1092
2277,6,1143
2278,5,1308
2279,8,1708
2280,5,1387
2281,7,1514
2282,6,1423
2283,5,1299
2284,7,1633
2285,7,1406
2286,5,1105
2287,7,1749
2288,5,1299
2289,7,1732
2290,5,1320
2291,5,1035
2292,5,1239
2293,5,1386
2294,4,1147
2295,8,1703
2296,5,1278
2297,4,1317
2298,5,1356
2299,5,1274
2300,7,1255
2301,7,1681
2302,5,1207
2303,5,1384
2304,7,1480
2304,7,1480
2305,8,1748
2306,4,1014
2307,8,1763
2308,9,1606
2309,4,1050
2310,5,1179
2311,8,1746
2312,6,1316
2313,5,1296
2314,5,1247
2315,5,1464
2316,7,1770
2317,5,1212
2318,8,1536
2319,6,1140
2320,5,1345
2321,9,1720
2322,7,1570
2323,8,1561
2324,4,1094
2325,4,1323
2326,5,1408
2327,7,1246
2328,7,1604
2329,8,1742
2330,5,1284
2331,8,1702
2332,8,1707
2333,5,1287
2334,7,1774
2335,6,1137
2336,8,1580
2337,7,1645
2338,5,1372
2339,5,1500
